county,countyLabel,swampCount
http://www.wikidata.org/entity/Q504403,Bladen County,133
http://www.wikidata.org/entity/Q509813,Columbus County,86
http://www.wikidata.org/entity/Q507733,Robeson County,56
http://www.wikidata.org/entity/Q504329,Brunswick County,50
http://www.wikidata.org/entity/Q511834,Cumberland County,24
http://www.wikidata.org/entity/Q497817,Carteret County,20
http://www.wikidata.org/entity/Q507826,Pender County,20
http://www.wikidata.org/entity/Q504335,Bertie County,15
http://www.wikidata.org/entity/Q509838,Gates County,12
http://www.wikidata.org/entity/Q484639,Beaufort County,10
http://www.wikidata.org/entity/Q295787,Dare County,10
http://www.wikidata.org/entity/Q507722,Sampson County,10
http://www.wikidata.org/entity/Q511761,Currituck County,8
http://www.wikidata.org/entity/Q529958,Craven County,7
http://www.wikidata.org/entity/Q507587,Washington County,6
http://www.wikidata.org/entity/Q506569,Wayne County,6
http://www.wikidata.org/entity/Q511772,Greene County,5
http://www.wikidata.org/entity/Q506220,Pitt County,5
http://www.wikidata.org/entity/Q497938,Johnston County,4
http://www.wikidata.org/entity/Q507907,Lenoir County,4
http://www.wikidata.org/entity/Q943772,Chowan County,3
http://www.wikidata.org/entity/Q511788,Duplin County,3
http://www.wikidata.org/entity/Q497861,Harnett County,3
http://www.wikidata.org/entity/Q511659,Hyde County,3
http://www.wikidata.org/entity/Q508220,Onslow County,3
http://www.wikidata.org/entity/Q507616,Pamlico County,3
http://www.wikidata.org/entity/Q506215,Wake County,3
http://www.wikidata.org/entity/Q751202,Hertford County,2
http://www.wikidata.org/entity/Q505359,Martin County,2
http://www.wikidata.org/entity/Q506235,Nash County,2
http://www.wikidata.org/entity/Q506676,Northampton County,2
http://www.wikidata.org/entity/Q507918,Tyrrell County,2
http://www.wikidata.org/entity/Q497830,Anson County,1
http://www.wikidata.org/entity/Q504360,Buncombe County,1
http://www.wikidata.org/entity/Q504294,Camden County,1
http://www.wikidata.org/entity/Q118127,Edgecombe County,1
http://www.wikidata.org/entity/Q509910,Halifax County,1
http://www.wikidata.org/entity/Q502507,Hoke County,1
http://www.wikidata.org/entity/Q502492,Jones County,1
http://www.wikidata.org/entity/Q507438,Pasquotank County,1
http://www.wikidata.org/entity/Q201014,Perquimans County,1
http://www.wikidata.org/entity/Q510900,Wilson County,1
http://www.wikidata.org/entity/Q504397,Alamance County,0
http://www.wikidata.org/entity/Q491584,Alexander County,0
http://www.wikidata.org/entity/Q497899,Alleghany County,0
http://www.wikidata.org/entity/Q491626,Ashe County,0
http://www.wikidata.org/entity/Q497804,Avery County,0
http://www.wikidata.org/entity/Q504366,Burke County,0
http://www.wikidata.org/entity/Q176307,Cabarrus County,0
http://www.wikidata.org/entity/Q497908,Caldwell County,0
http://www.wikidata.org/entity/Q504428,Caswell County,0
http://www.wikidata.org/entity/Q502483,Catawba County,0
http://www.wikidata.org/entity/Q504410,Chatham County,0
http://www.wikidata.org/entity/Q484664,Cherokee County,0
http://www.wikidata.org/entity/Q502516,Clay County,0
http://www.wikidata.org/entity/Q511691,Cleveland County,0
http://www.wikidata.org/entity/Q511713,Davidson County,0
http://www.wikidata.org/entity/Q509786,Davie County,0
http://www.wikidata.org/entity/Q428298,Durham County,0
http://www.wikidata.org/entity/Q509926,Forsyth County,0
http://www.wikidata.org/entity/Q502526,Franklin County,0
http://www.wikidata.org/entity/Q511849,Gaston County,0
http://www.wikidata.org/entity/Q374968,Graham County,0
http://www.wikidata.org/entity/Q502503,Granville County,0
http://www.wikidata.org/entity/Q502257,Guilford County,0
http://www.wikidata.org/entity/Q502496,Haywood County,0
http://www.wikidata.org/entity/Q511747,Henderson County,0
http://www.wikidata.org/entity/Q502875,Iredell County,0
http://www.wikidata.org/entity/Q502521,Jackson County,0
http://www.wikidata.org/entity/Q507838,Lee County,0
http://www.wikidata.org/entity/Q507757,Lincoln County,0
http://www.wikidata.org/entity/Q507575,Macon County,0
http://www.wikidata.org/entity/Q506300,Madison County,0
http://www.wikidata.org/entity/Q507811,McDowell County,0
http://www.wikidata.org/entity/Q507770,Mecklenburg County,0
http://www.wikidata.org/entity/Q506337,Mitchell County,0
http://www.wikidata.org/entity/Q506697,Montgomery County,0
http://www.wikidata.org/entity/Q507782,Moore County,0
http://www.wikidata.org/entity/Q508209,New Hanover County,0
http://www.wikidata.org/entity/Q507957,Orange County,0
http://www.wikidata.org/entity/Q508271,Person County,0
http://www.wikidata.org/entity/Q507892,Polk County,0
http://www.wikidata.org/entity/Q507943,Randolph County,0
http://www.wikidata.org/entity/Q507870,Richmond County,0
http://www.wikidata.org/entity/Q505422,Rockingham County,0
http://www.wikidata.org/entity/Q507966,Rowan County,0
http://www.wikidata.org/entity/Q508254,Rutherford County,0
http://www.wikidata.org/entity/Q506690,Scotland County,0
http://www.wikidata.org/entity/Q507798,Stanly County,0
http://www.wikidata.org/entity/Q506682,Stokes County,0
http://www.wikidata.org/entity/Q507881,Surry County,0
http://www.wikidata.org/entity/Q496197,Swain County,0
http://www.wikidata.org/entity/Q507743,Transylvania County,0
http://www.wikidata.org/entity/Q508247,Union County,0
http://www.wikidata.org/entity/Q507981,Vance County,0
http://www.wikidata.org/entity/Q507853,Warren County,0
http://www.wikidata.org/entity/Q502880,Watauga County,0
http://www.wikidata.org/entity/Q430328,Wilkes County,0
http://www.wikidata.org/entity/Q497284,Yadkin County,0
http://www.wikidata.org/entity/Q502487,Yancey County,0
